,aligned
0,"\begin{aligned}
\big[M^{(8)}_{AB}, M^{(8)}_{CD}\big] &= 
  \delta_{AC} M^{(8)}_{BD}\, , \quad&
\big[M^{(5)}_{IJ}, M^{(5)}_{KL}\big] &= 
  \delta_{IK} M^{(5)}_{JL}\, ,\\
{}\big[M^{(8)}_{AB}, Q\big] &= 
  \frac{1}{8}\big(\Gamma_{AB} Q\big)\, , &
{}\big[M^{(5)}_{IJ}, Q\big] &= 
  \frac{1}{8}\big(\Gamma_{IJ} Q\big)
\"
1,"\begin{aligned}
\big[ W^{(8)}, Q \big] &= \tfrac{\tilde m}{8}\, \Gamma Q\, ,&
  \big[ W^{(5)}, Q\big] &= \tfrac{\tilde n}{8}\, \Gamma Q\, ,\\[1ex]
\big[ Z^{(2|1)}, Q\big] &= C\, \Gamma Q\, , &
  \big[ Z^{(4|2)}, Q\big] &= D\, \Gamma Q\, ,
\"
2,"\begin{aligned}
{}\big[M^{(8)}, Z^{(2|1)}\big] = \tilde{m}^{-1} \big[M^{(8)},
  Z^{(2|1)}\big] &= Z^{(2|1)}\,, \\
{}\big[M^{(5)}, Z^{(2|1)}\big] = \tilde{n}^{-1} \big[M^{(5)},
  Z^{(2|1)}\big] &= \tfrac{1}{2}\, Z^{(2|1)}\,, \\
{}\big[M^{(8)}, Z^{(4|2)}\big] = \tilde{m}^{-1} \big[W^{(8)},
  Z^{(4|2)}\big] &= 2\, Z^{(4|2)}\,, \\
{}\big[M^{(5)}, Z^{(4|2)}\big] = \tilde{n}^{-1} \big[W^{(5)},
  Z^{(4|2)}\big] &=  Z^{(4|2)}\,.
\"
3,"\begin{aligned}
\{ Q , Q \} &= 
     \big(\tilde{\Gamma}^{a}C^{-1}\big)      P_a 
   + \big(\tilde{\Gamma}^i C^{-1}\big)       P_i 
   + \big(\tilde{\Gamma}^{ab} C^{-1}\big)    Z_{ab}^{(2)} 
   + \big(\tilde{\Gamma}^{ij} C^{-1}\big)    Z_{ij}^{(2)} 
   + \big(\tilde{\Gamma}^{ai} \tilde\Gamma C^{-1}\big)    Z_{ai}^{(2)}\\[1ex]
  &+ \big(\tilde{\Gamma}^{abijk} C^{-1}\big) Z_{abijk}^{(5)} 
   + \big(\tilde{\Gamma}^{aijkl} C^{-1}\big) Z_{aijkl}^{(5)} 
   + \big(\tilde{\Gamma}^{abcde}\tilde\Gamma C^{-1}\big) Z_{abcde}^{(5)} \\[1ex]
  &+ \big(\tilde{\Gamma}^{abcdi} C^{-1}\big) Z_{abcdi}^{(5)} 
   + \big(\tilde{\Gamma}^{abcij} C^{-1}\big) Z_{abcij}^{(5)} \, ,
\"
4,"\begin{aligned}
\label{clif1}
\tilde{\Gamma}^{i} &= \gamma^{i} \,, & 
\tilde{\Gamma}^{a} &= \gamma^{*}\gamma^{a}\,,  \\
\gamma^{*} &= \gamma^{7\ldots 10}\,, & 
C &= {\cal C}_{(11)}\gamma^* \,,
\"
5,"\begin{aligned}
\Gamma^{i} &= \gamma^{i}\otimes 1\,, & 
  \Gamma^{y} &= -i\gamma^{*}\otimes 1\,,\\[1ex]
\Gamma^{a} &= \gamma^{*}\gamma^{a}\otimes\sigma^{1}\,, &
  \Gamma^{\underline{1}} &= -1\otimes \sigma^{2}\,,
\"
6,"\begin{aligned}
{}\big[M^{(8)},W^{(8)}\big] &= \alpha M^{(8)} + \tilde{\alpha} W^{(8)} \,,
&  \big[W^{(8)},W^{(8)}\big] &= \beta M^{(8)} + \tilde{\beta} W^{(8)} \\
{}\big[M^{(5)},W^{(5)}\big] &= \gamma M^{(5)} + \tilde{\gamma} W^{(5)} \,,
& \big[W^{(5)},W^{(5)}\big] &= \delta M^{(5)} + \tilde{\delta} W^{(5)}  \, .
\"
7,"\begin{aligned}
\big[ M^{(8)}, Q \big] &= A\, \Gamma Q\, , & 
  \big[ M^{(5)}, Q\big] &= B\, \Gamma Q\, ,\\[1ex]
\big[ W^{(8)}, Q \big] &= A_z\, \Gamma Q\, ,&
  \big[ W^{(5)}, Q\big] &= B_z\, \Gamma Q\, ,\\[1ex]
\big[ Z^{(2|1)}, Q\big] &= C\, \Gamma Q\, , &
  \big[ Z^{(4|2)}, Q\big] &= D\, \Gamma Q\, .
\"
8,"\begin{aligned}
{}\big[M^{(8)}, Z^{(2|1)}\big] &= m\, Z^{(2|1)}\,,  &  \big[W^{(8)},
Z^{(2|1)}\big] &= \tilde{m} \big[M^{(8)}, Z^{(2|1)}\big] \,, \\
{}\big[M^{(5)}, Z^{(2|1)}\big] &= n\, Z^{(2|1)}\,,  &  \big[W^{(5)},
Z^{(2|1)}\big] &= \tilde{n} \big[M^{(5)}, Z^{(2|1)}\big]\, ,
\"
9,"\begin{aligned}
{}\big[M^{(8)}, Z^{(4|2)}\big] = \mu\, Z^{(4|2)}\,, \quad \quad &  \big[W^{(8)}, Z^{(4|2)}\big] = \tilde{\mu} \big[M^{(8)}, Z^{(4|2)}\big]\,, \\
{}\big[M^{(5)}, Z^{(4|2)}\big] = \nu\, Z^{(4|2)}\,, \quad \quad &  \big[W^{(5)}, Z^{(4|2)}\big] = \tilde{\nu} \big[M^{(5)}, Z^{(4|2)}\big]\,.
\"
