,equation
0,"\begin{equation}
(\nabla^2 -m^2) \Phi=0
\label{2eq1}
\"
1,"\begin{equation}
ds_{dS}^2=-\Big(1- \frac{r^2}{l^2} \Big) dt^2 +
\Big(1- \frac{r^2}{l^2} \Big)^{-1}dr^2 +r^2
d\Omega_{D-2}^2.
\label{2eq2}
\"
2,"\begin{equation}
\Phi(r,t,\Omega)=f_{\ell}(r) e^{-i \omega t} Y^m_{\ell}(\Omega),
\label{2eq3}
\"
3,"\begin{equation}
(1-r^2)f_{\ell}''(r) + \Big( \frac{D-2}
{r} -Dr \Big) f_{\ell}'(r) + \Big( \frac{\omega^2}{1-r^2}
-\frac{\ell(\ell +D-3)}{r^2} -m^2 \Big) f_{\ell}(r)=0,
\label{2eq4}
\"
4,"\begin{equation}
-\frac{d^2}{d r^{*2}} f_{\ell} + V_D(r)f_{\ell}=  E f_{\ell}
\label{3eq1}
\"
5,"\begin{equation}
V_D(r)= \omega^2 + r^{2(D-2)}(1-r^2) \Big[ m^2 + \frac{\ell(\ell+D-3)}{r^2}
 -\frac{\omega^2}{1-r^2}
\Big].
\label{3eq2}
\"
6,"\begin{equation}
r^*= \ln r - \frac{1}{2} \ln\Big[(1+r)(1-r)\Big],~~ e^{2r^*} =\frac{r^2}{1-r^2},~~
r^2=\frac{e^{2r^*}}{1+e^{2r^*}}.
\label{3eq3}
\"
7,"\begin{equation}
r^*= -\frac{1}{ r} +\frac{1}{2} \ln\Big[\frac{1+r}{1-r}\Big].
\label{3eq4}
\"
8,"\begin{equation}
V_3(r^*) = \omega^2 + \frac{e^{2r^*}}{(1+e^{2r^*})^2} \Big[ m^2 +
\frac{1+ e^{2r^*}}{e^{2 r^*}} \ell^2 - (1 + e^{2r^*}) \omega^2 \Big].
\label{3eq5}
\"
9,"\begin{equation}
\frac{d^2}{d r^{*2}} f_{\ell,-\infty} -\ell(\ell+D-3)r^{2(D-3)} f_{\ell,-\infty}=0.
\label{3eq6}
\"
10,"\begin{equation}
f_{\ell,-\infty}(r^*) =A_3 e^{\ell r^*} + B_3 e^{-\ell r^*}
\label{3eq7}
\"
11,"\begin{equation}
f_{\ell,r=0}(r) =A_3 r^{\ell} + \frac{B_3}{ r^{\ell}}.
\label{3eq8}
\"
12,"\begin{equation}
f_{\ell,r=0}(r) =A_D r^{\ell} + \frac{B_D}{ r^{\ell+D-3}}.
\label{3eq9}
\"
13,"\begin{equation}
\frac{d^2}{d r^{*2}} f_{\infty} +\omega^2 f_{\infty}=0.
\label{3eq10}
\"
14,"\begin{equation}
f_{\infty}(r^*) =C_D e^{-i \omega r^*} + E_D e^{i \omega r^*}.
\label{3eq11}
\"
15,"\begin{equation}
f_{r=1}(r) =C_3(1- r^2)^{\frac{i\omega}{2}} + E_3(1- r^2)^{-\frac{i\omega}{2}} .
\label{3eq12}
\"
16,"\begin{equation}
f_{r=1}(r) =C_4(1- r)^{\frac{i\omega}{2}} + E_4(1- r)^{-\frac{i\omega}{2}} .
\label{3eq13}
\"
17,"\begin{equation}
\frac{f_{\infty}(r^*)}{C_3} = e^{-i \omega r^*} + \frac{E_3}{C_3} e^{i \omega r^*}
\approx
e^{-i \omega r^*} + \frac{C_3^*}{C_3} e^{i \omega r^*}.
\label{3eq14}
\"
18,"\begin{equation}
z(1-z)f_{\ell}''(z) -\frac{1}{2}[z(D+1)-(D-1)] f_{\ell}'(z) + \frac{1}{4} \Big( \frac{\omega^2}{1-z}
-\frac{\ell(\ell+D-3)}{z} -m^2 \Big) f_{\ell}(z)=0.
\label{4eq1}
\"
19,"\begin{equation}
f(z)=z^\alpha (1-z)^\beta w(z),~~
\alpha= \frac{\ell}{2},~~\beta= i\frac{\omega}{2}
\label{4eq2}
\"
20,"\begin{equation}
z(1-z)w''(z) + [c-(a+b+1)z] w'(z) -a b~ w(z) =0
\label{4eq3}
\"
21,"\begin{equation}
 a= \frac{1}{2} ( \ell + i \omega +h_+),~~ b= \frac{1}{2} ( \ell + i \omega
 +h_-),~~ c= \ell+\frac{D-1}{2}
 \label{4eq4}
 \"
22,"\begin{equation}
 h_{\pm}= \frac{1}{2}\Big[D-1 \pm \sqrt{(D-1)^2-4m^2} \Big].
 \label{4eq5}
 \"
23,"\begin{equation}
 f_+(z)
 =A_D z^{\ell/2}(1-z)^{i\omega/2} F(a,b,c;z)
 \label{4eq6}
 \"
24,"\begin{equation}
{\cal F}(z=0)= 2\frac{2 \pi}{i} [f^*z\partial_z f-f z\partial_z
f^*]|_{z=0}.
\label{4eq7}
\"
25,"\begin{equation}
{\cal F}_{out/in}(z=0)=0.
\label{4eq8}
\"
26,"\begin{equation}
f_{+,0\to1}\equiv f_{in} + f_{out}=
 H_{\omega,\ell} e^{-i \omega r^*} +H_{-\omega,\ell} e^{i \omega
r^*}
\label{4eq10}
\"
27,"\begin{equation}
H_{-\omega,\ell}= H_{\omega,\ell}^*=A_D\alpha_{-\omega,\ell},~~
\alpha_{-\omega,\ell}= \frac{\Gamma(1+\ell)\Gamma(i\omega) 2^{i \omega}}
{\Gamma[(\ell +i \omega +h_+)/2)] \Gamma[(\ell +i \omega +h_-)/2)]}.
\label{4eq11}
\"
28,"\begin{equation}
{\cal F}_{out}(z=1)= \frac{2 \pi}{i} [f_{out}^*\partial_{r^*} f_{out}-f_{out}
\partial_{r^*}
f_{out}^*]|_{r^*=\infty} = 4 \pi \omega A_D^2
|\alpha_{-\omega,\ell}|^2.
\label{4eq12}
\"
29,"\begin{equation}
{\cal F}_{in}(z=1)= \frac{2 \pi}{i} [f_{in}^*\partial_{r^*} f_{in}-f_{in}
\partial_{r^*}
f_{in}^*]|_{r^*=\infty} = 4 \pi \omega A_D^2
|\alpha_{\omega,\ell}|^2.
\label{4eq13}
\"
30,"\begin{equation}
{\cal A} = \frac{ {\cal F}_{out}(z=1)}{{\cal F}_{out}(z=0)}.
\label{5eq0}
\"
31,"\begin{equation}
\sigma_{abs}^{D=3}= \frac{{\cal A}_3}{\omega} =
\Big[\frac{4\pi l A_3^2}{H_3}\Big] |\alpha_{-\omega l,\ell}|^2
\label{5eq1}
\"
32,"\begin{equation}
|\alpha_{-\omega l,\ell}|^2=\frac{|\Gamma(1+\ell)|^2|\Gamma(i\omega l)|^2 }
{|\Gamma[(\ell + i\omega l + \tilde h_+)/2)]|^2
|\Gamma[(\ell + i\omega l + \tilde h_-)/2]|^2}.
\label{5eq2}
\"
33,"\begin{equation}
\sigma_{abs}^{D=4}= \frac{\pi{\cal A}_4}{\omega^2} =
\Big[\frac{4\pi^2 l A_4^2}{\omega H_4}\Big] |\alpha_{-\omega
l,\ell}|^2.
\label{5eq3}
\"
34,"\begin{equation}
(\nabla^2 -m^2) \Phi=0
\label{2eq1}
\"
35,"\begin{equation}
ds_{dS}^2=-\Big(1- \frac{r^2}{l^2} \Big) dt^2 +
\Big(1- \frac{r^2}{l^2} \Big)^{-1}dr^2 +r^2
d\Omega_{D-2}^2.
\label{2eq2}
\"
36,"\begin{equation}
\Phi(r,t,\Omega)=f_{\ell}(r) e^{-i \omega t} Y^m_{\ell}(\Omega),
\label{2eq3}
\"
37,"\begin{equation}
(1-r^2)f_{\ell}''(r) + \Big( \frac{D-2}
{r} -Dr \Big) f_{\ell}'(r) + \Big( \frac{\omega^2}{1-r^2}
-\frac{\ell(\ell +D-3)}{r^2} -m^2 \Big) f_{\ell}(r)=0,
\label{2eq4}
\"
38,"\begin{equation}
-\frac{d^2}{d r^{*2}} f_{\ell} + V_D(r)f_{\ell}=  E f_{\ell}
\label{3eq1}
\"
39,"\begin{equation}
V_D(r)= \omega^2 + r^{2(D-2)}(1-r^2) \Big[ m^2 + \frac{\ell(\ell+D-3)}{r^2}
 -\frac{\omega^2}{1-r^2}
\Big].
\label{3eq2}
\"
40,"\begin{equation}
r^*= \ln r - \frac{1}{2} \ln\Big[(1+r)(1-r)\Big],~~ e^{2r^*} =\frac{r^2}{1-r^2},~~
r^2=\frac{e^{2r^*}}{1+e^{2r^*}}.
\label{3eq3}
\"
41,"\begin{equation}
r^*= -\frac{1}{ r} +\frac{1}{2} \ln\Big[\frac{1+r}{1-r}\Big].
\label{3eq4}
\"
